size_of_term,number_of_term,steps_count,size_biggest_term_in_steps,size_reduced,cycled_reduction,increasing_reduction,has_normal_form,is_same_norm,is_same_val,is_same_name
16,929710003503755,36,6367,1,False,False,True,True,True,True
16,929710003503756,12,130,1,False,False,True,True,True,True
16,929710003503757,12,256,1,False,False,True,True,True,True
16,929710003503758,12,454,1,False,False,True,True,True,True
16,929710003503759,11,37,1,False,False,True,True,True,True
16,929710003503760,9,36,1,False,False,True,True,True,True
16,929710003503761,9,36,1,False,False,True,True,True,True
16,929710003503762,9,36,1,False,False,True,True,True,True
16,929710003503763,9,37,1,False,False,True,True,True,True
16,929710003503764,12,258,1,False,False,True,True,True,True
16,929710003503765,12,258,1,False,False,True,True,True,True
16,929710003503766,11,37,1,False,False,True,True,True,True
16,929710003503767,12,258,1,False,False,True,True,True,True
16,929710003503768,12,456,1,False,False,True,True,True,True
16,929710003503769,11,37,1,False,False,True,True,True,True
16,929710003503770,10,37,1,False,False,True,True,True,True
16,929710003503771,10,37,1,False,False,True,True,True,True
16,929710003503772,10,38,1,False,False,True,True,True,True
16,929710003503773,9,35,1,False,False,True,True,True,True
16,929710003503774,9,35,1,False,False,True,True,True,True
16,929710003503775,9,36,1,False,False,True,True,True,True
16,929710003503776,9,35,1,False,False,True,True,True,True
16,929710003503777,9,35,1,False,False,True,True,True,True
16,929710003503778,9,36,1,False,False,True,True,True,True
16,929710003503779,9,35,1,False,False,True,True,True,True
16,929710003503780,9,41,1,False,False,True,True,True,True
16,929710003503781,9,36,1,False,False,True,True,True,True
16,929710003503782,9,36,1,False,False,True,True,True,True
16,929710003503783,9,36,1,False,False,True,True,True,True
16,929710003503784,9,37,1,False,False,True,True,True,True
16,929710003503785,,,,False,True,False,False,True,False
16,929710003503786,,,,True,False,False,False,True,False
16,929710003503787,21,279,1,False,False,True,True,True,True
16,929710003503788,,,,True,False,False,False,True,False
16,929710003503789,,,,True,False,False,False,True,False
16,929710003503790,,,,True,False,False,False,True,False
16,929710003503791,11,36,1,False,False,True,True,True,True
16,929710003503792,11,36,1,False,False,True,True,True,True
16,929710003503793,11,37,1,False,False,True,True,True,True
16,929710003503794,,,,False,True,False,False,True,False
16,929710003503795,,,,True,False,False,False,True,False
16,929710003503796,,,,False,True,False,False,True,False
16,929710003503797,,,,True,False,False,False,True,False
16,929710003503798,,,,True,False,False,False,True,False
16,929710003503799,,,,True,False,False,False,True,False
16,929710003503800,11,36,1,False,False,True,True,True,True
16,929710003503801,11,42,1,False,False,True,True,True,True
16,929710003503802,11,37,1,False,False,True,True,True,True
16,929710003503803,12,256,1,False,False,True,True,True,True
16,929710003503804,12,256,1,False,False,True,True,True,True
16,929710003503805,11,37,1,False,False,True,True,True,True
16,929710003503806,12,256,1,False,False,True,True,True,True
16,929710003503807,12,454,1,False,False,True,True,True,True
16,929710003503808,11,37,1,False,False,True,True,True,True
16,929710003503809,10,37,1,False,False,True,True,True,True
16,929710003503810,10,37,1,False,False,True,True,True,True
16,929710003503811,10,38,1,False,False,True,True,True,True
16,929710003503812,8,34,1,False,False,True,True,True,True
16,929710003503813,8,34,1,False,False,True,True,True,True
16,929710003503814,8,34,1,False,False,True,True,True,True
16,929710003503815,8,35,1,False,False,True,True,True,True
16,929710003503816,11,100,1,False,False,True,True,True,True
16,929710003503817,11,100,1,False,False,True,True,True,True
16,929710003503818,10,35,1,False,False,True,True,True,True
16,929710003503819,11,100,1,False,False,True,True,True,True
16,929710003503820,11,162,1,False,False,True,True,True,True
16,929710003503821,10,35,1,False,False,True,True,True,True
16,929710003503822,9,35,1,False,False,True,True,True,True
16,929710003503823,9,35,1,False,False,True,True,True,True
16,929710003503824,9,36,1,False,False,True,True,True,True
16,929710003503825,8,34,1,False,False,True,True,True,True
16,929710003503826,8,34,1,False,False,True,True,True,True
16,929710003503827,8,34,1,False,False,True,True,True,True
16,929710003503828,8,35,1,False,False,True,True,True,True
16,929710003503829,11,110,1,False,False,True,True,True,True
16,929710003503830,11,110,1,False,False,True,True,True,True
16,929710003503831,10,35,1,False,False,True,True,True,True
16,929710003503832,11,110,1,False,False,True,True,True,True
16,929710003503833,11,172,1,False,False,True,True,True,True
16,929710003503834,10,35,1,False,False,True,True,True,True
16,929710003503835,9,35,1,False,False,True,True,True,True
16,929710003503836,9,35,1,False,False,True,True,True,True
16,929710003503837,9,36,1,False,False,True,True,True,True
16,929710003503838,8,34,1,False,False,True,True,True,True
16,929710003503839,8,34,1,False,False,True,True,True,True
16,929710003503840,8,40,1,False,False,True,True,True,True
16,929710003503841,8,35,1,False,False,True,True,True,True
16,929710003503842,11,110,1,False,False,True,True,True,True
16,929710003503843,11,172,1,False,False,True,True,True,True
16,929710003503844,10,35,1,False,False,True,True,True,True
16,929710003503845,11,172,1,False,False,True,True,True,True
16,929710003503846,11,236,1,False,False,True,True,True,True
16,929710003503847,10,41,1,False,False,True,True,True,True
16,929710003503848,9,35,1,False,False,True,True,True,True
16,929710003503849,9,41,1,False,False,True,True,True,True
16,929710003503850,9,36,1,False,False,True,True,True,True
16,929710003503851,8,35,1,False,False,True,True,True,True
16,929710003503852,8,35,1,False,False,True,True,True,True
16,929710003503853,8,35,1,False,False,True,True,True,True
16,929710003503854,8,36,1,False,False,True,True,True,True
16,929710003503855,11,169,1,False,False,True,True,True,True
16,929710003503856,11,169,1,False,False,True,True,True,True
16,929710003503857,10,36,1,False,False,True,True,True,True
16,929710003503858,11,169,1,False,False,True,True,True,True
16,929710003503859,11,289,1,False,False,True,True,True,True
16,929710003503860,10,36,1,False,False,True,True,True,True
16,929710003503861,9,36,1,False,False,True,True,True,True
16,929710003503862,9,36,1,False,False,True,True,True,True
16,929710003503863,9,37,1,False,False,True,True,True,True
16,929710003503864,17,100,1,False,False,True,True,True,True
16,929710003503865,18,110,1,False,False,True,True,True,True
16,929710003503866,18,232,1,False,False,True,True,True,True
16,929710003503867,17,169,1,False,False,True,True,True,True
16,929710003503868,,,,True,False,False,False,True,False
16,929710003503869,,,,True,False,False,False,True,False
16,929710003503870,,,,False,True,False,False,True,False
16,929710003503871,,,,True,False,False,False,True,False
16,929710003503872,,,,True,False,False,False,True,False
16,929710003503873,,,,True,False,False,False,True,False
16,929710003503874,,,,True,False,False,False,True,False
16,929710003503875,,,,True,False,False,False,True,False
16,929710003503876,21,279,1,False,False,True,True,True,True
16,929710003503877,17,100,1,False,False,True,True,True,True
16,929710003503878,18,117,1,False,False,True,True,True,True
16,929710003503879,18,232,1,False,False,True,True,True,True
16,929710003503880,17,169,1,False,False,True,True,True,True
16,929710003503881,,,,True,False,False,False,True,False
16,929710003503882,,,,True,False,False,False,True,False
16,929710003503883,,,,True,False,False,False,True,False
16,929710003503884,,,,True,False,False,False,True,False
16,929710003503885,,,,True,False,False,False,True,False
16,929710003503886,,,,True,False,False,False,True,False
16,929710003503887,,,,True,False,False,False,True,False
16,929710003503888,,,,True,False,False,False,True,False
16,929710003503889,21,478,1,False,False,True,True,True,True
16,929710003503890,10,35,1,False,False,True,True,True,True
16,929710003503891,10,35,1,False,False,True,True,True,True
16,929710003503892,10
